corpus,relative_path,utterance_id,speaker_id,session_id,subset,original_label,label_six,label_four,duration_s,sample_rate,sha256
cremad,AudioWAV/1001_DFA_ANG_XX.wav,cremad/1001_DFA_ANG_XX,cremad_1001,,,angry,angry,angry,2.275562,16000,c6f94b2592487c7556bd86df7df6e8f4420d1b9c11414aeec9d8e5e640b51495
cremad,AudioWAV/1001_DFA_DIS_XX.wav,cremad/1001_DFA_DIS_XX,cremad_1001,,,disgust,disgust,,2.335688,16000,c992e624c48a6119b5635ef7b606aea28d45d02c397b9bd85f7e5a2c2656ac65
cremad,AudioWAV/1001_DFA_FEA_XX.wav,cremad/1001_DFA_FEA_XX,cremad_1001,,,fear,fear,,2.168813,16000,cc84aa476b106f71364c079ac3cf08448d2bc0b5ac79deb7ec10cbe69c19d74c
cremad,AudioWAV/1001_DFA_HAP_XX.wav,cremad/1001_DFA_HAP_XX,cremad_1001,,,happy,happy,happy,1.868500,16000,91d63d7a792a37b2ff8ac6267d3e5364bc1b10d5b0e0be288c0af0534d4fdae5
cremad,AudioWAV/1001_DFA_NEU_XX.wav,cremad/1001_DFA_NEU_XX,cremad_1001,,,neutral,neutral,neutral,2.035375,16000,95e32bd83c449d26afb653c5451fa0389a83b1245c24385778cd02a18cb50cb6
cremad,AudioWAV/1001_DFA_SAD_XX.wav,cremad/1001_DFA_SAD_XX,cremad_1001,,,sad,sad,sad,2.002000,16000,c75f74e03ae5783830733519c806c85996ca0bd833e17b535f8830166bc002e9
cremad,AudioWAV/1001_IEO_ANG_HI.wav,cremad/1001_IEO_ANG_HI,cremad_1001,,,angry,angry,angry,1.935250,16000,a6a173a924668940761223ce19a99045785f5c55a8689c7123ae8fcd9230c39a
cremad,AudioWAV/1001_IEO_ANG_LO.wav,cremad/1001_IEO_ANG_LO,cremad_1001,,,angry,angry,angry,2.068750,16000,a0e54c13646df74563d0488bd52328dfd10fffbaaa4138d06c3e4a54b7b1ea16
cremad,AudioWAV/1001_IEO_ANG_MD.wav,cremad/1001_IEO_ANG_MD,cremad_1001,,,angry,angry,angry,2.635937,16000,f1d2b5440f632a72b72521442e0837e00813e40424aa6db980b70fc84bd37e08
cremad,AudioWAV/1001_IEO_DIS_HI.wav,cremad/1001_IEO_DIS_HI,cremad_1001,,,disgust,disgust,,2.002000,16000,d774cbef209040c3820368e8d973801cb30fb41013bccbf9483a23d634072cfe
cremad,AudioWAV/1001_IEO_DIS_LO.wav,cremad/1001_IEO_DIS_LO,cremad_1001,,,disgust,disgust,,2.002000,16000,3c065550821452ad42c24ea006a759d05a34ef17e4e5e9beee37f7788709a7ce
cremad,AudioWAV/1001_IEO_DIS_MD.wav,cremad/1001_IEO_DIS_MD,cremad_1001,,,disgust,disgust,,1.901875,16000,5a3316464e9cfd926737f3e183956fcaf7bc2ddb3d9205c9f4e72aa937bf1fe3
cremad,AudioWAV/1001_IEO_FEA_HI.wav,cremad/1001_IEO_FEA_HI,cremad_1001,,,fear,fear,,1.568250,16000,eae62b31e0c80e146c05ee7123da613a6238a0f388e883fef3bcb271979dc5d3
cremad,AudioWAV/1001_IEO_FEA_LO.wav,cremad/1001_IEO_FEA_LO,cremad_1001,,,fear,fear,,1.534875,16000,f60f9b4631023f02eb962750414ccfa73bcee72e19cd487b5a67ba500db26c76
cremad,AudioWAV/1001_IEO_FEA_MD.wav,cremad/1001_IEO_FEA_MD,cremad_1001,,,fear,fear,,1.601625,16000,4a9e22697134bdd4f4cc838d8308e469de456d59340f7a9016802d03e681223a
cremad,AudioWAV/1001_IEO_HAP_HI.wav,cremad/1001_IEO_HAP_HI,cremad_1001,,,happy,happy,happy,1.768438,16000,c7a8de9867f3fe4bfab59aa81a9ac32d058d0ebd814b7fb292913f7c59420690
cremad,AudioWAV/1001_IEO_HAP_LO.wav,cremad/1001_IEO_HAP_LO,cremad_1001,,,happy,happy,happy,1.701688,16000,11ec2c09928c48405b67c73c6e3c3c8f7ceb384e260b22a96aa7a985050d09d7
cremad,AudioWAV/1001_IEO_HAP_MD.wav,cremad/1001_IEO_HAP_MD,cremad_1001,,,happy,happy,happy,1.668313,16000,a4159fdec90dbfb4019e713ed4d3dfbf49819a7123fd7b3819fad68b0dac39ab
cremad,AudioWAV/1001_IEO_NEU_XX.wav,cremad/1001_IEO_NEU_XX,cremad_1001,,,neutral,neutral,neutral,1.601625,16000,bbad5c4b884e8f677ef8801219b215441cba92da832fb57dfb89494ebdff8e9c
cremad,AudioWAV/1001_IEO_SAD_HI.wav,cremad/1001_IEO_SAD_HI,cremad_1001,,,sad,sad,sad,2.002000,16000,39417a0f269c65ee21a82c11fa4ca5bafc42bb37ddf45ab323d22fdee6a392a2
cremad,AudioWAV/1001_IEO_SAD_LO.wav,cremad/1001_IEO_SAD_LO,cremad_1001,,,sad,sad,sad,1.901875,16000,558668b8591026c39ca0f51181083dda3792fe48e511ee23462a27616e8a7364
cremad,AudioWAV/1001_IEO_SAD_MD.wav,cremad/1001_IEO_SAD_MD,cremad_1001,,,sad,sad,sad,1.735062,16000,8868cb30113e4e3fc206498520e17bc8e392aec766a340312a9a199df5a98781
cremad,AudioWAV/1001_IOM_ANG_XX.wav,cremad/1001_IOM_ANG_XX,cremad_1001,,,angry,angry,angry,2.135438,16000,00d46fd45ef5c1419164fa6d046e91866a566b6673b8ceac5c9f3d42e47ca1f0
cremad,AudioWAV/1001_IOM_DIS_XX.wav,cremad/1001_IOM_DIS_XX,cremad_1001,,,disgust,disgust,,2.268937,16000,786e822a67dffa80bcab619067c6f656d2828a04ed7a0c979dd33f59a856d47d
cremad,AudioWAV/1001_IOM_FEA_XX.wav,cremad/1001_IOM_FEA_XX,cremad_1001,,,fear,fear,,2.836187,16000,a0975a88aa38920519a2145ed5b3bf8cad3cf59b4f9f6a1fe350bebce2c7d2ce
cremad,AudioWAV/1001_IOM_HAP_XX.wav,cremad/1001_IOM_HAP_XX,cremad_1001,,,happy,happy,happy,2.002000,16000,54a8162c71d91fb536700f476dfec833f53bd579c83cab131e12ff4b98cb0af2
