corpus,label_space,class,count,share,below_warn
ravdess,four,angry,192,0.222222,0
ravdess,four,happy,192,0.222222,0
ravdess,four,neutral,288,0.333333,0
ravdess,four,sad,192,0.222222,0
cremad,four,angry,1271,0.259388,0
cremad,four,happy,1271,0.259388,0
cremad,four,neutral,1087,0.221837,0
cremad,four,sad,1271,0.259388,0
ravdess,six,angry,192,0.153846,0
ravdess,six,disgust,192,0.153846,0
ravdess,six,fear,192,0.153846,0
ravdess,six,happy,192,0.153846,0
ravdess,six,neutral,288,0.230769,0
ravdess,six,sad,192,0.153846,0
cremad,six,angry,1271,0.170787,0
cremad,six,disgust,1271,0.170787,0
cremad,six,fear,1271,0.170787,0
cremad,six,happy,1271,0.170787,0
cremad,six,neutral,1087,0.146063,0
cremad,six,sad,1271,0.170787,0
