corpus,backbone,layer,n_samples,n_features,spectral_entropy_rank,participation_ratio,numerical_rank,condition_number
ravdess,hubert,0,520,768,18.038142675061554,10.143492542626355,519,inf
ravdess,hubert,1,520,768,25.096169141530385,9.23617440111515,519,inf
ravdess,hubert,2,520,768,28.1492355369016,9.213607171069288,519,inf
ravdess,hubert,3,520,768,32.46593921561003,10.562869850044919,519,inf
ravdess,hubert,4,520,768,35.914038046860725,12.295625771317154,519,inf
ravdess,hubert,5,520,768,41.37705103171438,15.180408662417554,519,inf
ravdess,hubert,6,520,768,47.26477091214113,17.632224806040046,519,inf
ravdess,hubert,7,520,768,47.02209027122765,17.566945069474574,519,inf
ravdess,hubert,8,520,768,44.82710929609003,16.84260979928681,519,inf
ravdess,hubert,9,520,768,44.87215912108524,17.189805186261733,519,inf
ravdess,hubert,10,520,768,40.965613440766575,15.791618370299176,519,inf
ravdess,hubert,11,520,768,39.60451065879814,15.08037530365131,519,inf
ravdess,hubert,12,520,768,28.92212993858645,12.429619262198159,519,inf
ravdess,wav2vec2,0,520,768,22.90440250276013,10.098723156803484,519,inf
ravdess,wav2vec2,1,520,768,26.604822227622584,9.124980594725525,519,inf
ravdess,wav2vec2,2,520,768,26.531528229676418,8.504161904131115,519,inf
ravdess,wav2vec2,3,520,768,26.267961433441865,8.035680620631263,519,inf
ravdess,wav2vec2,4,520,768,31.02350372519193,10.163289610448784,519,inf
ravdess,wav2vec2,5,520,768,35.72060348715963,12.234672752734294,519,inf
ravdess,wav2vec2,6,520,768,37.973453868354724,13.010496218094918,519,inf
ravdess,wav2vec2,7,520,768,37.42406657858761,12.97854704886557,519,inf
ravdess,wav2vec2,8,520,768,34.20423911773741,12.161363045955758,519,inf
ravdess,wav2vec2,9,520,768,28.127623117643353,10.021367922013525,519,inf
ravdess,wav2vec2,10,520,768,29.212747644635627,9.715871605635225,519,inf
ravdess,wav2vec2,11,520,768,17.341271906327098,5.98385235427608,519,inf
ravdess,wav2vec2,12,520,768,20.908761914499415,6.692607917022987,519,inf
ravdess,wavlm,0,520,768,17.09476816134338,9.18593110784171,519,inf
ravdess,wavlm,1,520,768,25.041904449968285,9.43692747991718,519,inf
ravdess,wavlm,2,520,768,26.777372752653225,9.450944421984968,519,inf
ravdess,wavlm,3,520,768,30.16400539405012,9.704757866448146,519,inf
ravdess,wavlm,4,520,768,40.98670409828246,14.25405672508281,519,inf
ravdess,wavlm,5,520,768,45.365317010613815,16.577033364301023,519,inf
ravdess,wavlm,6,520,768,48.420738591490974,17.71533862265545,519,inf
ravdess,wavlm,7,520,768,48.64487339238884,17.685054314468314,519,inf
ravdess,wavlm,8,520,768,46.114007711548155,17.138294923140418,519,inf
ravdess,wavlm,9,520,768,44.8594698356297,16.613507605954624,519,inf
ravdess,wavlm,10,520,768,40.01909353833703,15.248718158613613,519,inf
ravdess,wavlm,11,520,768,35.880733711385204,13.510552943833709,519,inf
ravdess,wavlm,12,520,768,26.318260906792645,11.81039423334628,519,inf
cremad,hubert,0,3034,768,12.367802096243258,5.0807944517840635,768,1756310992.2392814
cremad,hubert,1,3034,768,18.520201691763525,5.927368864441344,768,2080844931.7210488
cremad,hubert,2,3034,768,28.546486049467866,9.391944745813852,768,2172953226.9767
cremad,hubert,3,3034,768,29.79793191289845,8.662356004306153,768,4025647770.7821593
cremad,hubert,4,3034,768,33.09818911201212,8.592837334109241,768,1689903565.9554927
cremad,hubert,5,3034,768,42.92603949735598,11.33340664440488,768,1435154820.4501064
cremad,hubert,6,3034,768,50.31937963488809,13.317781308639066,768,1235818012.7786624
cremad,hubert,7,3034,768,58.73668715501106,16.253396090802024,768,946653517.3426269
cremad,hubert,8,3034,768,60.600884777377196,17.34920430101722,768,545937409.256704
cremad,hubert,9,3034,768,60.526314104639546,19.17047150229218,768,404173104.3253523
cremad,hubert,10,3034,768,53.83553125712339,17.45368145540116,768,464579874.4543417
cremad,hubert,11,3034,768,41.53116625049171,11.947156023839602,768,1319913766.0423417
cremad,hubert,12,3034,768,32.517077363304445,10.958029431027438,768,3363636899.5725436
cremad,wav2vec2,0,3034,768,15.296963268862063,5.672713780901429,768,2050871909.2087204
cremad,wav2vec2,1,3034,768,16.497936511984932,5.515839389771837,768,3653056152.990178
cremad,wav2vec2,2,3034,768,23.022251724900126,6.596495844751016,768,2240957485.4370313
cremad,wav2vec2,3,3034,768,24.5788080642065,6.609357260364507,768,3155981310.248008
cremad,wav2vec2,4,3034,768,27.78373455307787,7.365600072393867,768,3485053036.3299885
cremad,wav2vec2,5,3034,768,33.78568249134897,8.26349528619917,768,2486138659.700909
cremad,wav2vec2,6,3034,768,37.917585503291136,9.174049083884604,768,2255809265.731524
cremad,wav2vec2,7,3034,768,36.06176233811073,8.83033144652973,768,1794584186.2062511
cremad,wav2vec2,8,3034,768,30.160919145421925,7.7735697837842626,768,2344617593.447773
cremad,wav2vec2,9,3034,768,22.05909521813084,6.155620571985494,768,4196525788.987203
cremad,wav2vec2,10,3034,768,20.755155542966875,6.051480724251089,768,3395619940.1293087
cremad,wav2vec2,11,3034,768,11.377376165366892,4.342119983962908,768,1220258238.086773
cremad,wav2vec2,12,3034,768,15.583126812348965,5.5904810938403715,768,3362958367.8595524
cremad,wavlm,0,3034,768,12.185288565649133,4.809323923633612,768,1813258490.0919564
cremad,wavlm,1,3034,768,22.524555049439705,7.4103804847614105,768,3158570868.323524
cremad,wavlm,2,3034,768,28.282726110960983,8.66948296896707,768,12980343547.4897
cremad,wavlm,3,3034,768,36.31807270771338,10.027715770439771,768,2950626374.240886
cremad,wavlm,4,3034,768,49.32451409673016,13.592776433099184,768,2477169148.6939964
cremad,wavlm,5,3034,768,54.0296690837663,14.612884265424276,768,2854521285.5957594
cremad,wavlm,6,3034,768,61.94324068272994,17.523713735166144,768,2065274682.2400944
cremad,wavlm,7,3034,768,61.7469334278956,17.03498618785774,768,2371670380.30889
cremad,wavlm,8,3034,768,61.99711381171311,17.402444462157796,768,2569955654.3887997
cremad,wavlm,9,3034,768,58.9173289976799,18.029204493587553,768,1900331516.8602824
cremad,wavlm,10,3034,768,49.248094349913785,16.45790079356211,768,2055831221.5510614
cremad,wavlm,11,3034,768,42.26368594279518,13.782659523799014,768,3193538428.4270425
cremad,wavlm,12,3034,768,31.708643262609087,11.739567223305446,768,3374156682.496552
